Chapter number,Macro book,Era,13-chapter cluster,10-chapter Walter cycle,Year or approximate year,Location,POV character or artifact type,Chapter title,Word target,Immediate human conflict,World-system advanced,Walter visible or invisible role,Canon event touched,Divergence status,New lore introduced,Character introduced or developed,Consequence seeded,Payoff target chapter,Editing warning
50,Book I: Chains,Era 1: The Weirwood Wound,04.11 Second-order consequence,Walter POV,130,corpse quay,Walter White,The Weirwood Wound: Second-order consequence,750,"Walter White needs a concrete survival, status, food, safety, or truth win before local power closes the option.",Governance and freedom,Direct interior decision reframes prior nine chapters.,Dance continues; dragon losses and famine pressures,Canon,Governance and freedom rule tagged as canon-compatible inference or fic invention; localized to corpse quay.,Walter White developed; tie to corpse quay and governance and freedom.,"A material habit, debt, enemy, record, or route from chapter 50 returns with altered stakes.",Ch. 76,"Keep scene under 900 words; no tech leap, no worshipful Walter, tag canon status."
51,Book I: Chains,Era 1: The Weirwood Wound,04.12 Moral complication,Walter-shadow 1/9,130,Volantis,corpse-cart boy,The Weirwood Wound: Moral complication,750,"corpse-cart boy needs a concrete survival, status, food, safety, or truth win before local power closes the option.",Commerce and labor,"Invisible method, alias, ledger mark, price signal, manual, or rumor alters choices.",Dance continues; dragon losses and famine pressures,Canon,Commerce and labor rule tagged as canon-compatible inference or fic invention; localized to Volantis.,corpse-cart boy developed; tie to Volantis and commerce and labor.,"A material habit, debt, enemy, record, or route from chapter 51 returns with altered stakes.",Ch. 90,"Keep scene under 900 words; no tech leap, no worshipful Walter, tag canon status."
52,Book I: Chains,Era 1: The Weirwood Wound,04.13 Label-ledger-law-song artifact,Walter-shadow 2/9,130,Weirwood memory,lantern code slip,The Weirwood Wound: Label-ledger-law-song artifact,750,"lantern code slip needs a concrete survival, status, food, safety, or truth win before local power closes the option.",Knowledge and printing,"Invisible method, alias, ledger mark, price signal, manual, or rumor alters choices.",Dance continues; dragon losses and famine pressures,Canon,Knowledge and printing rule tagged as canon-compatible inference or fic invention; localized to Weirwood memory.,lantern code slip developed; tie to Weirwood memory and knowledge and printing.,"A material habit, debt, enemy, record, or route from chapter 52 returns with altered stakes.",Ch. 104,"Keep scene under 900 words; no tech leap, no worshipful Walter, tag canon status."
53,Book I: Chains,Era 1: The Weirwood Wound,05.01 Opening pressure,Walter-shadow 3/9,130,laundry yard,slaver accountant,The Weirwood Wound: Opening pressure,750,"slaver accountant needs a concrete survival, status, food, safety, or truth win before local power closes the option.",Governance and freedom,"Invisible method, alias, ledger mark, price signal, manual, or rumor alters choices.",Dance continues; dragon losses and famine pressures,Canon,Governance and freedom rule tagged as canon-compatible inference or fic invention; localized to laundry yard.,slaver accountant developed; tie to laundry yard and governance and freedom.,"A material habit, debt, enemy, record, or route from chapter 53 returns with altered stakes.",Ch. 118,"Keep scene under 900 words; no tech leap, no worshipful Walter, tag canon status."
54,Book I: Chains,Era 1: The Weirwood Wound,05.02 Local character introduced,Walter-shadow 4/9,130,red temple precinct,ship caulker,The Weirwood Wound: Local character introduced,750,"ship caulker needs a concrete survival, status, food, safety, or truth win before local power closes the option.",Commerce and labor,"Invisible method, alias, ledger mark, price signal, manual, or rumor alters choices.",Dance continues; dragon losses and famine pressures,Canon,Commerce and labor rule tagged as canon-compatible inference or fic invention; localized to red temple precinct.,ship caulker developed; tie to red temple precinct and commerce and labor.,"A material habit, debt, enemy, record, or route from chapter 54 returns with altered stakes.",Ch. 132,"Keep scene under 900 words; no tech leap, no worshipful Walter, tag canon status."
55,Book I: Chains,Era 1: The Weirwood Wound,05.03 Material system problem,Walter-shadow 5/9,130,corpse quay,freedwoman organizer,The Weirwood Wound: Material system problem,750,"freedwoman organizer needs a concrete survival, status, food, safety, or truth win before local power closes the option.",Knowledge and printing,"Invisible method, alias, ledger mark, price signal, manual, or rumor alters choices.",Dance continues; dragon losses and famine pressures,Canon,Knowledge and printing rule tagged as canon-compatible inference or fic invention; localized to corpse quay.,freedwoman organizer developed; tie to corpse quay and knowledge and printing.,"A material habit, debt, enemy, record, or route from chapter 55 returns with altered stakes.",Ch. 146,"Keep scene under 900 words; no tech leap, no worshipful Walter, tag canon status."
56,Book I: Chains,Era 1: The Weirwood Wound,05.04 Social consequence,Walter-shadow 6/9,130,Volantis,Braavosi notary,The Weirwood Wound: Social consequence,750,"Braavosi notary needs a concrete survival, status, food, safety, or truth win before local power closes the option.",War and security,"Invisible method, alias, ledger mark, price signal, manual, or rumor alters choices.",Dance continues; dragon losses and famine pressures,Canon,War and security rule tagged as canon-compatible inference or fic invention; localized to Volantis.,Braavosi notary developed; tie to Volantis and war and security.,"A material habit, debt, enemy, record, or route from chapter 56 returns with altered stakes.",Ch. 69,"Keep scene under 900 words; no tech leap, no worshipful Walter, tag canon status."
57,Book I: Chains,Era 1: The Weirwood Wound,05.05 Hidden Walter effect,Walter-shadow 7/9,130,Weirwood memory,glassworker apprentice,The Weirwood Wound: Hidden Walter effect,750,"glassworker apprentice needs a concrete survival, status, food, safety, or truth win before local power closes the option.",Health and biology,"Invisible method, alias, ledger mark, price signal, manual, or rumor alters choices.",Dance continues; dragon losses and famine pressures,Canon,Health and biology rule tagged as canon-compatible inference or fic invention; localized to Weirwood memory.,glassworker apprentice developed; tie to Weirwood memory and health and biology.,"A material habit, debt, enemy, record, or route from chapter 57 returns with altered stakes.",Ch. 83,"Keep scene under 900 words; no tech leap, no worshipful Walter, tag canon status."
58,Book I: Chains,Era 1: The Weirwood Wound,05.06 Unexpected cost,Walter-shadow 8/9,130,laundry yard,midwife,The Weirwood Wound: Unexpected cost,750,"midwife needs a concrete survival, status, food, safety, or truth win before local power closes the option.",Travel and communication,"Invisible method, alias, ledger mark, price signal, manual, or rumor alters choices.",Dance continues; dragon losses and famine pressures,Canon,Travel and communication rule tagged as canon-compatible inference or fic invention; localized to laundry yard.,midwife developed; tie to laundry yard and travel and communication.,"A material habit, debt, enemy, record, or route from chapter 58 returns with altered stakes.",Ch. 97,"Keep scene under 900 words; no tech leap, no worshipful Walter, tag canon status."
59,Book I: Chains,Era 1: The Weirwood Wound,05.07 Counterforce reaction,Walter-shadow 9/9,130,red temple precinct,sellsword quartermaster,The Weirwood Wound: Counterforce reaction,750,"sellsword quartermaster needs a concrete survival, status, food, safety, or truth win before local power closes the option.",Magic and prophecy,"Invisible method, alias, ledger mark, price signal, manual, or rumor alters choices.",Dance continues; dragon losses and famine pressures,Canon,Magic and prophecy rule tagged as canon-compatible inference or fic invention; localized to red temple precinct.,sellsword quartermaster developed; tie to red temple precinct and magic and prophecy.,"A material habit, debt, enemy, record, or route from chapter 59 returns with altered stakes.",Ch. 111,"Keep scene under 900 words; no tech leap, no worshipful Walter, tag canon status."
60,Book I: Chains,Era 1: The Weirwood Wound,05.08 Adaptation,Walter POV,130,corpse quay,Walter White,The Weirwood Wound: Adaptation,750,"Walter White needs a concrete survival, status, food, safety, or truth win before local power closes the option.",Governance and freedom,Direct interior decision reframes prior nine chapters.,Dance continues; dragon losses and famine pressures,Canon,Governance and freedom rule tagged as canon-compatible inference or fic invention; localized to corpse quay.,Walter White developed; tie to corpse quay and governance and freedom.,"A material habit, debt, enemy, record, or route from chapter 60 returns with altered stakes.",Ch. 125,"Keep scene under 900 words; no tech leap, no worshipful Walter, tag canon status."
61,Book I: Chains,Era 1: The Weirwood Wound,05.09 Partial victory,Walter-shadow 1/9,130,Volantis,Night's Watch steward,The Weirwood Wound: Partial victory,750,"Night's Watch steward needs a concrete survival, status, food, safety, or truth win before local power closes the option.",Commerce and labor,"Invisible method, alias, ledger mark, price signal, manual, or rumor alters choices.",Dance continues; dragon losses and famine pressures,Canon,Commerce and labor rule tagged as canon-compatible inference or fic invention; localized to Volantis.,Night's Watch steward developed; tie to Volantis and commerce and labor.,"A material habit, debt, enemy, record, or route from chapter 61 returns with altered stakes.",Ch. 139,"Keep scene under 900 words; no tech leap, no worshipful Walter, tag canon status."
62,Book I: Chains,Era 1: The Weirwood Wound,05.10 Walter chapter / shadow reveal,Walter-shadow 2/9,130,Weirwood memory,maester dissenter,The Weirwood Wound: Walter chapter / shadow reveal,750,"maester dissenter needs a concrete survival, status, food, safety, or truth win before local power closes the option.",Knowledge and printing,"Invisible method, alias, ledger mark, price signal, manual, or rumor alters choices.",Dance continues; dragon losses and famine pressures,Canon,Knowledge and printing rule tagged as canon-compatible inference or fic invention; localized to Weirwood memory.,maester dissenter developed; tie to Weirwood memory and knowledge and printing.,"A material habit, debt, enemy, record, or route from chapter 62 returns with altered stakes.",Ch. 153,"Keep scene under 900 words; no tech leap, no worshipful Walter, tag canon status."
63,Book I: Chains,Era 1: The Weirwood Wound,05.11 Second-order consequence,Walter-shadow 3/9,130,laundry yard,septa teacher,The Weirwood Wound: Second-order consequence,750,"septa teacher needs a concrete survival, status, food, safety, or truth win before local power closes the option.",War and security,"Invisible method, alias, ledger mark, price signal, manual, or rumor alters choices.",Dance continues; dragon losses and famine pressures,Canon,War and security rule tagged as canon-compatible inference or fic invention; localized to laundry yard.,septa teacher developed; tie to laundry yard and war and security.,"A material habit, debt, enemy, record, or route from chapter 63 returns with altered stakes.",Ch. 76,"Keep scene under 900 words; no tech leap, no worshipful Walter, tag canon status."
64,Book I: Chains,Era 1: The Weirwood Wound,05.12 Moral complication,Walter-shadow 4/9,130,red temple precinct,river farmer,The Weirwood Wound: Moral complication,750,"river farmer needs a concrete survival, status, food, safety, or truth win before local power closes the option.",Health and biology,"Invisible method, alias, ledger mark, price signal, manual, or rumor alters choices.",Dance continues; dragon losses and famine pressures,Canon,Health and biology rule tagged as canon-compatible inference or fic invention; localized to red temple precinct.,river farmer developed; tie to red temple precinct and health and biology.,"A material habit, debt, enemy, record, or route from chapter 64 returns with altered stakes.",Ch. 90,"Keep scene under 900 words; no tech leap, no worshipful Walter, tag canon status."
